Splaygrootte,Tijd,Aantal elementen,Aantal vaak gezochte elementen
10,133,1000000,20000
11,130,1000000,20000
12,127,1000000,20000
13,129,1000000,20000
14,128,1000000,20000
15,121,1000000,20000
16,129,1000000,20000
17,116,1000000,20000
18,110,1000000,20000
19,116,1000000,20000
20,110,1000000,20000
21,101,1000000,20000
22,96,1000000,20000
23,92,1000000,20000
24,80,1000000,20000
25,68,1000000,20000
26,56,1000000,20000
27,53,1000000,20000
28,49,1000000,20000
29,42,1000000,20000
30,45,1000000,20000
31,46,1000000,20000
32,41,1000000,20000
33,44,1000000,20000
34,46,1000000,20000
35,43,1000000,20000
36,42,1000000,20000
37,48,1000000,20000
38,45,1000000,20000
39,43,1000000,20000
40,49,1000000,20000
41,49,1000000,20000
42,47,1000000,20000
43,50,1000000,20000
44,47,1000000,20000
45,51,1000000,20000
46,51,1000000,20000
47,51,1000000,20000
48,53,1000000,20000
49,51,1000000,20000
50,56,1000000,20000
51,59,1000000,20000
52,55,1000000,20000
53,58,1000000,20000
54,58,1000000,20000
55,56,1000000,20000
56,58,1000000,20000
57,59,1000000,20000
58,59,1000000,20000
59,58,1000000,20000
60,57,1000000,20000
61,58,1000000,20000
62,58,1000000,20000
63,61,1000000,20000
3,486,1000000,50000
4,499,1000000,50000
5,445,1000000,50000
6,417,1000000,50000
7,427,1000000,50000
8,422,1000000,50000
9,405,1000000,50000
10,391,1000000,50000
11,386,1000000,50000
12,395,1000000,50000
13,398,1000000,50000
14,381,1000000,50000
15,372,1000000,50000
16,378,1000000,50000
17,391,1000000,50000
18,368,1000000,50000
19,358,1000000,50000
20,363,1000000,50000
21,348,1000000,50000
22,339,1000000,50000
23,312,1000000,50000
24,296,1000000,50000
25,273,1000000,50000
26,220,1000000,50000
27,209,1000000,50000
28,185,1000000,50000
29,162,1000000,50000
30,142,1000000,50000
31,133,1000000,50000
32,134,1000000,50000
33,128,1000000,50000
34,124,1000000,50000
35,125,1000000,50000
36,121,1000000,50000
37,127,1000000,50000
38,122,1000000,50000
39,122,1000000,50000
40,121,1000000,50000
41,132,1000000,50000
42,126,1000000,50000
43,127,1000000,50000
44,125,1000000,50000
45,135,1000000,50000
46,116,1000000,50000
47,123,1000000,50000
48,119,1000000,50000
49,124,1000000,50000
50,125,1000000,50000
51,111,1000000,50000
52,116,1000000,50000
53,134,1000000,50000
54,130,1000000,50000
55,131,1000000,50000
56,131,1000000,50000
57,134,1000000,50000
58,133,1000000,50000
59,133,1000000,50000
60,130,1000000,50000
61,132,1000000,50000
62,133,1000000,50000
63,135,1000000,50000
3,1014,1000000,100000
4,1109,1000000,100000
5,957,1000000,100000
6,866,1000000,100000
7,934,1000000,100000
8,975,1000000,100000
9,905,1000000,100000
10,903,1000000,100000
11,879,1000000,100000
12,839,1000000,100000
13,840,1000000,100000
14,813,1000000,100000
15,870,1000000,100000
16,869,1000000,100000
17,818,1000000,100000
18,864,1000000,100000
19,801,1000000,100000
20,809,1000000,100000
21,800,1000000,100000
22,766,1000000,100000
23,786,1000000,100000
24,733,1000000,100000
25,703,1000000,100000
26,601,1000000,100000
27,571,1000000,100000
28,520,1000000,100000
29,473,1000000,100000
30,391,1000000,100000
31,373,1000000,100000
32,337,1000000,100000
33,307,1000000,100000
34,309,1000000,100000
35,282,1000000,100000
36,274,1000000,100000
37,268,1000000,100000
38,271,1000000,100000
39,258,1000000,100000
40,256,1000000,100000
41,262,1000000,100000
42,250,1000000,100000
43,251,1000000,100000
44,254,1000000,100000
45,251,1000000,100000
46,242,1000000,100000
47,211,1000000,100000
48,235,1000000,100000
49,229,1000000,100000
50,227,1000000,100000
51,231,1000000,100000
52,233,1000000,100000
53,227,1000000,100000
54,219,1000000,100000
55,229,1000000,100000
56,225,1000000,100000
57,219,1000000,100000
58,216,1000000,100000
59,225,1000000,100000
60,220,1000000,100000
61,219,1000000,100000
62,226,1000000,100000
63,218,1000000,100000
3,2336,1000000,250000
4,2295,1000000,250000
5,1930,1000000,250000
6,1794,1000000,250000
7,1715,1000000,250000
8,1758,1000000,250000
9,1590,1000000,250000
10,1618,1000000,250000
11,1533,1000000,250000
12,1460,1000000,250000
13,1467,1000000,250000
14,1448,1000000,250000
15,1355,1000000,250000
16,1409,1000000,250000
17,1339,1000000,250000
18,1341,1000000,250000
19,1386,1000000,250000
20,1297,1000000,250000
21,1277,1000000,250000
22,1271,1000000,250000
23,1249,1000000,250000
24,1302,1000000,250000
25,1158,1000000,250000
26,1110,1000000,250000
27,1061,1000000,250000
28,1015,1000000,250000
29,923,1000000,250000
30,819,1000000,250000
31,777,1000000,250000
32,751,1000000,250000
33,679,1000000,250000
34,676,1000000,250000
35,638,1000000,250000
36,598,1000000,250000
37,557,1000000,250000
38,541,1000000,250000
39,534,1000000,250000
40,532,1000000,250000
41,513,1000000,250000
42,502,1000000,250000
43,498,1000000,250000
44,478,1000000,250000
45,467,1000000,250000
46,449,1000000,250000
47,446,1000000,250000
48,412,1000000,250000
49,385,1000000,250000
50,381,1000000,250000
51,372,1000000,250000
52,391,1000000,250000
53,381,1000000,250000
54,389,1000000,250000
55,376,1000000,250000
56,312,1000000,250000
57,292,1000000,250000
58,255,1000000,250000
59,491,1000000,250000
60,521,1000000,250000
61,510,1000000,250000
62,539,1000000,250000
63,485,1000000,250000
